machine_code,company_id
46754,1
46755,1
47258,1
47616,1
52052,1
52053,1
35674,4
59201,1
59202,1
59203,1
59204,1
59205,1
59206,1
57600,1
46771,1
46772,1
51598,1
55185,1
46797,1
59434,1
59435,1
59436,1
59437,1
55996,1
55997,1
55995,1
46782,1
55671,1
55672,1
55629,1
52390,1
52391,1
52392,1
52394,1
52395,1
53936,1
52312,1
52313,1
46780,1
49144,1
49145,1
51027,1
46432,1
46433,1
46779,1
56852,1
56856,1
56857,1
56858,1
46796,1
32663,1
46839,1
46840,1
46841,1
46842,1
46843,1
46774,1
47198,5
47199,5
47200,5
47202,5
47204,5
40163,1
46813,1
46814,1
46815,1
46816,1
46822,1
53877,1
58295,1
56700,1
49756,1
51616,1
58582,5
50647,1
55244,1
58823,1
49050,1
49015,2
49074,1
49016,2
49075,1
32659,1
32660,1
50710,1
46859,1
46860,1
46861,1
46862,1
46863,1
47229,5
46756,1
47160,1
47159,1
47105,1
47111,1
47112,1
47113,1
47114,1
47115,1
47116,1
47117,1
47118,1
47119,1
47120,1
47156,1
51008,1
47157,1
47195,2
55233,2
57580,1
47558,1
47191,1
47192,1
47193,1
47194,1
50927,1
46898,1
54066,1
56101,1
50916,1
50915,1
52008,1
51609,1
39438,1
39439,1
39442,1
39443,1
46789,1
50717,1
47109,1
47771,5
53014,5
53015,5
51823,5
48029,5
48030,5
48031,5
49216,5
46769,1
46768,1
47218,5
47219,5
47220,5
58390,5
58391,5
47210,5
47211,5
47462,1
47463,1
50358,1
56509,1
52742,1
52744,1
52746,1
52747,1
52748,1
52751,1
52772,1
53006,1
54814,1
54815,1
54816,1
54817,1
54799,1
55095,1
55096,1
55214,1
55041,1
46844,1
46602,1
46603,1
46616,1
46617,1
46618,1
46619,1
46620,1
46621,1
46545,1
48691,1
48692,1
48693,1
48694,1
48695,1
48696,1
48697,1
48698,1
48614,1
47414,1
57239,1
57240,1
52444,1
47172,1
47173,1
52162,1
52163,1
47167,1
47171,1
47170,1
